Signal Legend:

Key        Signal Name

0        = values_out
1        = sbox_out
2        = counter_test
3        = test_out
4        = done_out

Data Table:

Signals-> 0        1   2   3 4 

sample

340       8168316  12h 0   0 1 
341       8168316  12h 0   0 1 
342       8168316  12h 0   0 1 
343       8168316  12h 0   0 1 
344       8168316  12h 0   0 1 
345       8168316  12h 0   0 1 
346       8168316  12h 0   0 1 
347       8168316  12h 0   0 1 
348       8168316  12h 0   0 1 
349       8168316  12h 0   0 1 
350       8168316  12h 0   0 1 
351       8168316  12h 0   0 1 
352       8168316  12h 0   0 1 
353       8168316  12h 0   0 1 
354       8168316  12h 0   0 1 
355       8168316  12h 0   0 1 
356       8168316  12h 0   0 1 
357       8168316  12h 0   0 1 
358       8168316  12h 0   0 1 
359       8168316  12h 0   0 1 
360       8168316  12h 0   0 1 
361       8168316  12h 0   0 1 
362       8168316  12h 0   0 1 
363       8168316  12h 0   0 1 
364       8168316  12h 0   0 1 
365       8168316  12h 0   0 1 
366       8168316  12h 0   0 1 
367       8168316  12h 0   0 1 
368       8168316  12h 0   0 1 
369       8168316  12h 0   0 1 
370       8168316  12h 0   0 1 
371       8168316  12h 0   0 1 
372       8168316  12h 0   0 1 
373       8168316  12h 0   0 1 
374       8168316  12h 0   0 1 
375       8168316  12h 0   0 1 
376       8168316  12h 0   0 1 
377       8168316  12h 0   0 1 
378       8168316  12h 0   0 1 
379       8168316  12h 0   0 1 
380       8168316  12h 0   0 1 
381       8168316  12h 0   0 1 
382       8168316  12h 0   0 1 
383       8168316  12h 0   0 1 
384       8168316  12h 0   0 1 
385       8168316  12h 0   0 1 
386       8168316  12h 0   0 1 
387       8168316  12h 0   0 1 
388       8168316  12h 0   0 1 
389       8168316  12h 0   0 1 
390       8168316  12h 0   0 1 
391       8168316  12h 0   0 1 
392       8168316  12h 0   0 1 
393       8168316  12h 0   0 1 
394       8168316  12h 0   0 1 
395       8168316  12h 0   0 1 
396       8168316  12h 0   0 1 
397       8168316  12h 0   0 1 
398       8168316  12h 0   0 1 
399       8168316  12h 0   0 1 
400       8168316  12h 0   0 1 
401       8168316  12h 0   0 1 
402       8168316  12h 0   0 1 
403       8168316  12h 0   0 1 
404       8168316  12h 0   0 1 
405       8168316  12h 0   0 1 
406       8168316  12h 0   0 1 
407       8168316  12h 0   0 1 
408       8168316  12h 0   0 1 
409       8168316  12h 0   0 1 
410       8168316  12h 0   0 1 
411       8168316  12h 0   0 1 
412       8168316  12h 0   0 1 
413       8168316  12h 0   0 1 
414       8168316  12h 0   0 1 
415       8168316  12h 0   0 1 
416       8168316  12h 0   0 1 
417       8168316  12h 0   0 1 
418       8168316  12h 0   0 1 
419       8168316  12h 0   0 1 
420       8168316  12h 0   0 1 
421       8168316  12h 0   0 1 
422       8168316  12h 0   0 1 
423       8168316  12h 0   0 1 
424       8168316  12h 0   0 1 
425       8168316  12h 0   0 1 
426       8168316  12h 0   0 1 
427       8168316  12h 0   0 1 
428       8168316  12h 0   0 1 
429       8168316  12h 0   0 1 
430       8168316  12h 0   0 1 
431       8168316  12h 0   0 1 
432       8168316  12h 0   0 1 
433       8168316  12h 0   0 1 
434       8168316  12h 0   0 1 
435       8168316  12h 0   0 1 
436       8168316  12h 0   0 1 
437       8168316  12h 0   0 1 
438       8168316  12h 0   0 1 
439       8168316  12h 0   0 1 
440       8168316  12h 0   0 1 
441       8168316  12h 0   0 1 
442       8168316  12h 0   0 1 
443       8168316  12h 0   0 1 
444       8168316  12h 0   0 1 
445       8168316  12h 0   0 1 
446       8168316  12h 0   0 1 
447       8168316  12h 0   0 1 
448       8168316  12h 0   0 1 
449       8168316  12h 0   0 1 
450       8168316  12h 0   0 1 
451       8168316  12h 0   0 1 
452       8168316  12h 0   0 1 
453       8168316  12h 0   0 1 
454       8168316  12h 0   0 1 
455       8168316  12h 0   0 1 
456       8168316  12h 0   0 1 
457       8168316  12h 0   0 1 
458       8168316  12h 0   0 1 
