Signal Legend:

Key        Signal Name

0        = sbox_out
1        = values_out
2        = counter_test
3        = test_out
4        = done_out

Data Table:

Signals-> 0   1        2   3 4 
778       137 8168316  0   1 1 
779       137 8168316  0   1 1 
780       137 8168316  0   1 1 
781       137 8168316  0   1 1 
782       137 8168316  0   1 1 
783       137 8168316  0   1 1 
784       137 8168316  0   1 1 
785       137 8168316  0   1 1 
786       137 8168316  0   1 1 
787       137 8168316  0   1 1 
788       137 8168316  0   1 1 
789       137 8168316  0   1 1 
790       137 8168316  0   1 1 
791       137 8168316  0   1 1 
792       137 8168316  0   1 1 
793       137 8168316  0   1 1 
794       137 8168316  0   1 1 
795       137 8168316  0   1 1 
796       137 8168316  0   1 1 
797       137 8168316  0   1 1 
798       137 8168316  0   1 1 
799       137 8168316  0   1 1 
800       137 8168316  0   1 1 
801       137 8168316  0   1 1 
802       137 8168316  0   1 1 
803       137 8168316  0   1 1 
804       137 8168316  0   1 1 
805       137 8168316  0   1 1 
806       137 8168316  0   1 1 
807       137 8168316  0   1 1 
808       137 8168316  0   1 1 
809       137 8168316  0   1 1 
810       137 8168316  0   1 1 
811       137 8168316  0   1 1 
812       137 8168316  0   1 1 
813       137 8168316  0   1 1 
814       137 8168316  0   1 1 
815       137 8168316  0   1 1 
816       137 8168316  0   1 1 
817       137 8168316  0   1 1 
818       137 8168316  0   1 1 
819       137 8168316  0   1 1 
820       137 8168316  0   1 1 
821       137 8168316  0   1 1 
822       137 8168316  0   1 1 
823       137 8168316  0   1 1 
824       137 8168316  0   1 1 
825       137 8168316  0   1 1 
826       137 8168316  0   1 1 
827       137 8168316  0   1 1 
828       137 8168316  0   1 1 
829       137 8168316  0   1 1 
830       137 8168316  0   1 1 
831       137 8168316  0   1 1 
832       137 8168316  0   1 1 
833       137 8168316  0   1 1 
834       137 8168316  0   1 1 
835       137 8168316  0   1 1 
836       137 8168316  0   1 1 
837       137 8168316  0   1 1 
838       137 8168316  0   1 1 
839       137 8168316  0   1 1 
840       137 8168316  0   1 1 
841       137 8168316  0   1 1 
842       137 8168316  0   1 1 
843       137 8168316  0   1 1 
844       137 8168316  0   1 1 
845       137 8168316  0   1 1 
846       137 8168316  0   1 1 
847       137 8168316  0   1 1 
848       137 8168316  0   1 1 
849       137 8168316  0   1 1 
850       137 8168316  0   1 1 
851       137 8168316  0   1 1 
852       137 8168316  0   1 1 
853       137 8168316  0   1 1 
854       137 8168316  0   1 1 
855       137 8168316  0   1 1 
856       137 8168316  0   1 1 
857       137 8168316  0   1 1 
858       137 8168316  0   1 1 
859       137 8168316  0   1 1 
860       137 8168316  0   1 1 
861       137 8168316  0   1 1 
862       137 8168316  0   1 1 
863       137 8168316  0   1 1 
864       137 8168316  0   1 1 
865       137 8168316  0   1 1 
866       137 8168316  0   1 1 
867       137 8168316  0   1 1 
868       137 8168316  0   1 1 
869       137 8168316  0   1 1 
870       137 8168316  0   1 1 
871       137 8168316  0   1 1 
872       137 8168316  0   1 1 
873       137 8168316  0   1 1 
874       137 8168316  0   1 1 
875       137 8168316  0   1 1 
876       137 8168316  0   1 1 
877       137 8168316  0   1 1 
878       137 8168316  0   1 1 
879       137 8168316  0   1 1 
880       137 8168316  0   1 1 
881       137 8168316  0   1 1 
882       137 8168316  0   1 1 
883       137 8168316  0   1 1 
884       137 8168316  0   1 1 
885       137 8168316  0   1 1 
886       137 8168316  0   1 1 
887       137 8168316  0   1 1 
888       137 8168316  0   1 1 
889       137 8168316  0   1 1 
890       137 8168316  0   1 1 
891       137 8168316  0   1 1 
892       137 8168316  0   1 1 
893       137 8168316  0   1 1 
894       137 8168316  0   1 1 
895       137 8168316  0   1 1 
