Signal Legend:

Key        Signal Name

0        = sbox_out
1        = values_out
2        = counter_test
3        = test_out
4        = done_out

Data Table:

Signals-> 0   1        2   3 4 

sample

435       139 8184696  0   1 1 
436       139 8184696  0   1 1 
437       139 8184696  0   1 1 
438       139 8184696  0   1 1 
439       139 8184696  0   1 1 
440       139 8184696  0   1 1 
441       139 8184696  0   1 1 
442       139 8184696  0   1 1 
443       139 8184696  0   1 1 
444       139 8184696  0   1 1 
445       139 8184696  0   1 1 
446       139 8184696  0   1 1 
447       139 8184696  0   1 1 
448       139 8184696  0   1 1 
449       139 8184696  0   1 1 
450       139 8184696  0   1 1 
451       139 8184696  0   1 1 
452       139 8184696  0   1 1 
453       139 8184696  0   1 1 
454       139 8184696  0   1 1 
455       139 8184696  0   1 1 
456       139 8184696  0   1 1 
457       139 8184696  0   1 1 
458       139 8184696  0   1 1 
459       139 8184696  0   1 1 
460       139 8184696  0   1 1 
461       139 8184696  0   1 1 
462       139 8184696  0   1 1 
463       139 8184696  0   1 1 
464       139 8184696  0   1 1 
465       139 8184696  0   1 1 
466       139 8184696  0   1 1 
467       139 8184696  0   1 1 
468       139 8184696  0   1 1 
469       139 8184696  0   1 1 
470       139 8184696  0   1 1 
471       139 8184696  0   1 1 
472       139 8184696  0   1 1 
473       139 8184696  0   1 1 
474       139 8184696  0   1 1 
475       139 8184696  0   1 1 
476       139 8184696  0   1 1 
477       139 8184696  0   1 1 
478       139 8184696  0   1 1 
479       139 8184696  0   1 1 
480       139 8184696  0   1 1 
481       139 8184696  0   1 1 
482       139 8184696  0   1 1 
483       139 8184696  0   1 1 
484       139 8184696  0   1 1 
485       139 8184696  0   1 1 
486       139 8184696  0   1 1 
487       139 8184696  0   1 1 
488       139 8184696  0   1 1 
489       139 8184696  0   1 1 
490       139 8184696  0   1 1 
491       139 8184696  0   1 1 
492       139 8184696  0   1 1 
493       139 8184696  0   1 1 
494       139 8184696  0   1 1 
495       139 8184696  0   1 1 
496       139 8184696  0   1 1 
497       139 8184696  0   1 1 
498       139 8184696  0   1 1 
499       139 8184696  0   1 1 
500       139 8184696  0   1 1 
501       139 8184696  0   1 1 
502       139 8184696  0   1 1 
503       139 8184696  0   1 1 
504       139 8184696  0   1 1 
505       139 8184696  0   1 1 
506       139 8184696  0   1 1 
507       139 8184696  0   1 1 
508       139 8184696  0   1 1 
509       139 8184696  0   1 1 
